Paymenttime,PaymentTakenByName,Payment,Info,Status,Value,Result
30/06/2025 12:53,CONSTANTIN,Account,Virgin Exp E10406423 88TC,Claimed,62,Claimed
30/06/2025 13:05,CONSTANTIN,Account,Virgin Exp E10864809 SHCQ,Claimed,68,Claimed
30/06/2025 13:06,CONSTANTIN,Account,Virgin Exp E10807989 Q6SV,Claimed,68,Claimed
30/06/2025 13:51,CONSTANTIN,Account,Virgin Exp E10414666 MXQE,Claimed,62,Claimed
30/06/2025 14:01,CONSTANTIN,Account,Virgin Exp E10631666 WGGE,Claimed,70,Claimed
30/06/2025 14:03,CONSTANTIN,Account,Virgin Exp E10820937 PN2E,Claimed,62,Error
30/06/2025 14:08,CONSTANTIN,Account,Virgin Exp E10846446 UBJ3,Claimed,70,Claimed
30/06/2025 14:21,CONSTANTIN,Account,Virgin Exp 8116578 55FT,Claimed,62,Claimed
30/06/2025 15:12,CONSTANTIN,Account,Virgin Exp 8427139 427Q,Claimed,70,Claimed
30/06/2025 15:49,CONSTANTIN,Account,Virgin Exp E10906727 V2W2,Claimed,75,Claimed
01/07/2025 13:06,CONSTANTIN,Account,Virgin Exp E10238106 8ERB,Claimed,62,Claimed
01/07/2025 13:07,CONSTANTIN,Account,Virgin Exp 8349809 43B9,Claimed,62,Claimed
01/07/2025 13:15,CONSTANTIN,Account,Virgin Exp E10832712 U28M,Claimed,62,Claimed
01/07/2025 13:56,CONSTANTIN,Account,Virgin Exp E9974083 RSKD,Claimed,70,Claimed
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
,,,,,,Error - Could not extract serial and PIN
